step, s/batch, lr, train_loss, dev.anlp_dev_loss, dev.hch_mcc, dev.hch_f1, dev.hch_precision, dev.hch_recall, dev.nci_mcc, dev.nci_f1, dev.nci_precision, dev.nci_recall
0, n/a, 7.3e-07, n/a, 8.804, 0.072, 17.0, 42.7, 10.6, 0.067, 17.0, 37.5, 11.0
128, 2.89, 9.375e-05, 7.65, 5.369, 0.037, 20.9, 35.7, 14.8, 0.126, 27.2, 41.9, 20.2
256, 3.04, 0.0001875, 4.69, 4.748, -0.031, 17.7, 27.7, 13.0, 0.031, 21.6, 30.8, 16.6
384, 2.9, 0.00028125, 4.35, 4.432, 0.057, 27.5, 36.8, 22.0, 0.114, 30.1, 38.4, 24.8
512, 2.8, 0.000375, 4.09, 4.267, -0.036, 22.2, 28.0, 18.5, 0.015, 22.8, 28.9, 18.7
640, 2.9, 0.00046875, 3.91, 4.156, 0.175, 41.2, 44.7, 38.2, 0.115, 33.1, 37.1, 29.9
768, 2.97, 0.0005625, 3.78, 4.068, 0.172, 40.2, 45.0, 36.2, 0.196, 39.2, 43.8, 35.4
896, 2.93, 0.00065625, 3.64, 4.055, 0.147, 37.0, 43.7, 32.1, 0.194, 37.6, 44.9, 32.3
1024, 2.91, 0.00075, 3.5, 3.946, 0.141, 37.9, 42.6, 34.2, 0.231, 40.1, 48.5, 34.2
1152, 3.1, 0.00074375, 3.48, 3.937, 0.276, 48.0, 52.8, 44.0, 0.249, 42.5, 49.0, 37.5
1280, 3.19, 0.0007375, 3.4, 3.866, 0.277, 43.8, 57.7, 35.3, 0.228, 37.6, 50.7, 29.8
1408, 2.95, 0.00073125, 3.38, 3.762, 0.311, 48.8, 57.7, 42.3, 0.265, 42.4, 52.0, 35.9
1536, 3.05, 0.000725, 3.35, 3.722, 0.339, 52.0, 58.4, 46.8, 0.276, 43.2, 52.9, 36.5
1664, 3.02, 0.00071875, 3.2, 3.659, 0.329, 49.7, 59.7, 42.6, 0.281, 43.9, 53.0, 37.5
1792, 3.0, 0.0007125, 3.12, 3.642, 0.366, 50.8, 65.2, 41.7, 0.271, 41.7, 54.0, 33.9
1920, 3.01, 0.00070625, 3.13, 3.699, 0.382, 53.1, 65.0, 44.8, 0.259, 40.4, 53.2, 32.5
2048, 3.22, 0.0007, 3.13, 3.613, 0.401, 55.5, 65.0, 48.4, 0.292, 44.4, 54.6, 37.4
2176, 3.12, 0.00069375, 3.1, 3.614, 0.391, 53.1, 66.9, 44.0, 0.284, 43.3, 54.5, 35.9
2304, 2.98, 0.0006875, 2.99, 3.572, 0.407, 55.4, 66.4, 47.6, 0.273, 42.9, 52.7, 36.2
2432, 2.97, 0.00068125, 2.95, 3.558, 0.405, 55.7, 65.5, 48.5, 0.287, 44.7, 53.1, 38.6
2560, 3.19, 0.000675, 2.98, 3.567, 0.418, 55.4, 68.7, 46.4, 0.292, 45.3, 53.3, 39.3
2688, 3.04, 0.00066875, 2.97, 3.533, 0.421, 55.8, 68.6, 47.1, 0.301, 45.1, 55.3, 38.0
2816, 3.08, 0.0006625, 2.96, 3.539, 0.405, 53.6, 68.9, 43.8, 0.287, 43.8, 54.3, 36.7
2944, 3.04, 0.00065625, 2.86, 3.515, 0.449, 58.2, 70.5, 49.5, 0.276, 43.5, 52.7, 37.0
3072, 2.98, 0.00065, 2.86, 3.507, 0.453, 60.0, 67.7, 53.9, 0.324, 49.6, 53.2, 46.4
3200, 2.97, 0.00064375, 2.84, 3.483, 0.449, 58.2, 70.4, 49.7, 0.34, 50.9, 54.4, 47.8
3328, 3.04, 0.0006375, 2.87, 3.476, 0.474, 60.7, 71.2, 52.9, 0.319, 48.4, 54.1, 43.8
3456, 3.03, 0.00063125, 2.84, 3.46, 0.478, 61.6, 70.4, 54.7, 0.312, 47.8, 53.5, 43.2
3584, 3.11, 0.000625, 2.77, 3.471, 0.434, 55.8, 71.4, 45.8, 0.358, 52.0, 56.1, 48.5
3712, 3.18, 0.00061875, 2.77, 3.458, 0.462, 59.0, 71.7, 50.1, 0.301, 46.3, 53.5, 40.9
3840, 2.94, 0.0006125, 2.76, 3.468, 0.434, 56.8, 69.7, 47.9, 0.34, 50.4, 55.2, 46.3
3968, 3.11, 0.00060625, 2.73, 3.452, 0.459, 58.3, 72.3, 48.9, 0.316, 48.0, 54.0, 43.2
4096, 2.89, 0.0006, 2.68, 3.427, 0.463, 59.5, 71.1, 51.1, 0.321, 49.4, 52.9, 46.4
4224, 3.12, 0.00059375, 2.69, 3.42, 0.462, 59.2, 71.4, 50.6, 0.324, 49.2, 53.9, 45.3
4352, 2.93, 0.0005875, 2.72, 3.419, 0.476, 60.7, 71.7, 52.6, 0.332, 50.3, 53.6, 47.4
4480, 3.08, 0.00058125, 2.7, 3.429, 0.483, 61.4, 71.9, 53.6, 0.32, 48.6, 54.1, 44.2
