step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 1e-07, n/a, 5.751, 0.283, 50.7, 57.4, 45.4
128, 3.93, 1.25e-05, 5.31, 5.446, 0.29, 52.7, 56.4, 49.4
256, 3.82, 2.5e-05, 4.68, 4.973, 0.294, 54.0, 55.5, 52.7
384, 3.84, 3.75e-05, 4.09, 4.56, 0.348, 58.3, 57.9, 58.6
512, 3.77, 5e-05, 3.66, 4.177, 0.377, 60.4, 59.4, 61.4
640, 3.86, 6.25e-05, 3.36, 3.939, 0.39, 61.3, 60.0, 62.6
768, 3.82, 7.5e-05, 3.14, 3.746, 0.412, 62.8, 61.3, 64.3
896, 3.89, 8.75e-05, 2.97, 3.603, 0.431, 63.8, 62.8, 64.8
1024, 3.84, 0.0001, 2.88, 3.491, 0.441, 64.4, 63.5, 65.4
1152, 3.88, 9.821e-05, 2.78, 3.453, 0.452, 65.0, 64.5, 65.6
1280, 3.9, 9.643e-05, 2.69, 3.427, 0.457, 65.3, 64.8, 65.9
1408, 3.89, 9.464e-05, 2.63, 3.392, 0.462, 65.6, 65.0, 66.2
1536, 3.8, 9.286e-05, 2.6, 3.414, 0.461, 65.7, 64.9, 66.4
1664, 3.93, 9.107e-05, 2.53, 3.379, 0.466, 65.8, 65.4, 66.3
1792, 3.89, 8.929e-05, 2.51, 3.389, 0.471, 66.2, 65.7, 66.8
1920, 3.95, 8.75e-05, 2.46, 3.388, 0.473, 66.2, 66.0, 66.5
2048, 3.91, 8.571e-05, 2.44, 3.373, 0.472, 66.2, 65.9, 66.4
2176, 4.01, 8.393e-05, 2.4, 3.379, 0.474, 66.3, 66.0, 66.6
2304, 3.94, 8.214e-05, 2.37, 3.357, 0.474, 66.2, 66.2, 66.3
2432, 3.9, 8.036e-05, 2.36, 3.339, 0.482, 66.8, 66.6, 67.0
2560, 4.01, 7.857e-05, 2.33, 3.336, 0.474, 66.2, 66.2, 66.3
2688, 3.96, 7.679e-05, 2.31, 3.346, 0.482, 66.8, 66.7, 66.8
2816, 4.04, 7.5e-05, 2.29, 3.346, 0.482, 66.7, 66.9, 66.5
2944, 3.97, 7.321e-05, 2.27, 3.388, 0.487, 67.0, 67.3, 66.7
3072, 3.91, 7.143e-05, 2.25, 3.355, 0.483, 66.7, 67.0, 66.4
3200, 3.94, 6.964e-05, 2.23, 3.351, 0.487, 67.0, 67.3, 66.6
3328, 4.01, 6.786e-05, 2.22, 3.36, 0.485, 66.8, 67.3, 66.3
3456, 3.93, 6.607e-05, 2.22, 3.353, 0.485, 66.8, 67.2, 66.4
3584, 3.85, 6.429e-05, 2.22, 3.321, 0.482, 66.6, 67.2, 66.0
3712, 4.04, 6.25e-05, 2.17, 3.323, 0.485, 66.7, 67.5, 65.9
3840, 3.98, 6.071e-05, 2.17, 3.342, 0.485, 66.8, 67.5, 66.0
3968, 3.93, 5.893e-05, 2.16, 3.346, 0.485, 66.7, 67.7, 65.8
4096, 3.94, 5.714e-05, 2.16, 3.338, 0.489, 67.0, 67.9, 66.1
4224, 4.01, 5.536e-05, 2.13, 3.312, 0.489, 66.9, 67.9, 66.0
4352, 3.99, 5.357e-05, 2.15, 3.294, 0.49, 67.0, 68.1, 65.9
4480, 3.96, 5.179e-05, 2.11, 3.328, 0.492, 67.1, 68.2, 66.1
4608, 4.03, 5e-05, 2.11, 3.35, 0.492, 67.1, 68.1, 66.3
4736, 4.04, 4.821e-05, 2.09, 3.357, 0.491, 67.1, 68.0, 66.2
4864, 3.88, 4.643e-05, 2.1, 3.319, 0.495, 67.4, 68.3, 66.4
4992, 3.88, 4.464e-05, 2.09, 3.347, 0.495, 67.3, 68.4, 66.3
5120, 3.85, 4.286e-05, 2.1, 3.312, 0.495, 67.2, 68.5, 66.0
5248, 3.81, 4.107e-05, 2.08, 3.337, 0.494, 67.1, 68.5, 65.9
5376, 3.9, 3.929e-05, 2.04, 3.328, 0.498, 67.5, 68.5, 66.6
5504, 3.86, 3.75e-05, 2.09, 3.326, 0.495, 67.2, 68.5, 66.0
5632, 3.81, 3.571e-05, 2.04, 3.324, 0.496, 67.4, 68.5, 66.3
5760, 3.92, 3.393e-05, 2.07, 3.319, 0.496, 67.4, 68.6, 66.2
5888, 3.83, 3.214e-05, 2.06, 3.316, 0.49, 66.9, 68.3, 65.7
6016, 3.87, 3.036e-05, 2.04, 3.33, 0.503, 67.8, 69.1, 66.5
6144, 3.97, 2.857e-05, 2.05, 3.324, 0.496, 67.3, 68.6, 66.0
6272, 3.92, 2.679e-05, 2.03, 3.32, 0.496, 67.3, 68.6, 66.0
6400, 3.82, 2.5e-05, 2.04, 3.339, 0.499, 67.5, 68.8, 66.2
6528, 3.86, 2.321e-05, 2.02, 3.345, 0.501, 67.6, 69.0, 66.2
6656, 3.84, 2.143e-05, 2.05, 3.334, 0.5, 67.6, 68.9, 66.3
6784, 3.87, 1.964e-05, 1.98, 3.294, 0.498, 67.4, 68.7, 66.2
6912, 3.82, 1.786e-05, 2.05, 3.35, 0.499, 67.5, 68.8, 66.2
7040, 3.81, 1.607e-05, 2.02, 3.305, 0.498, 67.4, 68.8, 66.0
7168, 3.86, 1.429e-05, 2.0, 3.314, 0.502, 67.7, 69.0, 66.4
7296, 3.89, 1.25e-05, 2.01, 3.321, 0.498, 67.4, 68.9, 65.9
7424, 3.81, 1.071e-05, 2.02, 3.304, 0.495, 67.2, 68.7, 65.8
7552, 3.84, 8.93e-06, 2.03, 3.344, 0.495, 67.2, 68.7, 65.9
7680, 3.9, 7.14e-06, 2.01, 3.301, 0.498, 67.4, 68.7, 66.1
7808, 3.74, 5.36e-06, 2.02, 3.298, 0.499, 67.5, 68.8, 66.1
7936, 3.98, 3.57e-06, 1.99, 3.337, 0.503, 67.7, 69.1, 66.3
8064, 3.91, 1.79e-06, 1.98, 3.35, 0.501, 67.6, 69.0, 66.2
8192, 3.84, 0.0, 2.03, 3.315, 0.496, 67.3, 68.8, 65.8
