step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 2e-07, n/a, 7.247, 0.004, 13.7, 33.7, 8.6
64, 4.39, 1.25e-05, 6.92, 7.165, -0.022, 12.1, 29.7, 7.6
128, 4.38, 2.5e-05, 6.73, 6.823, -0.036, 11.4, 27.6, 7.2
192, 4.38, 3.75e-05, 5.95, 5.408, -0.042, 11.4, 26.8, 7.3
256, 4.35, 5e-05, 4.9, 4.918, 0.047, 25.0, 38.0, 18.6
320, 4.44, 6.25e-05, 4.73, 4.789, 0.045, 25.4, 37.8, 19.1
384, 4.44, 7.5e-05, 4.61, 4.647, 0.027, 25.0, 35.8, 19.2
448, 4.41, 8.75e-05, 4.46, 4.467, 0.016, 24.7, 34.7, 19.1
512, 4.42, 0.0001, 4.28, 4.254, 0.003, 23.9, 33.4, 18.6
576, 4.26, 9.821e-05, 4.07, 3.919, -0.022, 22.5, 31.0, 17.7
640, 4.15, 9.643e-05, 3.86, 3.74, -0.029, 22.4, 30.3, 17.8
704, 4.16, 9.464e-05, 3.71, 3.608, -0.034, 21.8, 29.8, 17.2
768, 4.16, 9.286e-05, 3.6, 3.524, -0.011, 24.3, 32.1, 19.6
832, 4.15, 9.107e-05, 3.5, 3.471, -0.005, 25.0, 32.6, 20.3
896, 4.13, 8.929e-05, 3.42, 3.436, 0.017, 26.6, 34.6, 21.7
960, 4.16, 8.75e-05, 3.36, 3.418, 0.02, 27.0, 34.9, 22.0
1024, 4.1, 8.571e-05, 3.29, 3.387, 0.029, 27.7, 35.7, 22.6
1088, 4.11, 8.393e-05, 3.22, 3.388, 0.046, 29.5, 37.2, 24.4
1152, 4.09, 8.214e-05, 3.17, 3.375, 0.052, 29.5, 37.7, 24.3
1216, 4.11, 8.036e-05, 3.11, 3.384, 0.062, 30.0, 38.8, 24.4
1280, 4.12, 7.857e-05, 3.05, 3.393, 0.073, 31.7, 39.4, 26.5
1344, 4.13, 7.679e-05, 3.0, 3.399, 0.065, 31.1, 38.8, 26.0
1408, 4.13, 7.5e-05, 2.95, 3.396, 0.073, 31.5, 39.6, 26.2
1472, 4.09, 7.321e-05, 2.9, 3.395, 0.075, 31.8, 39.7, 26.5
1536, 4.1, 7.143e-05, 2.86, 3.407, 0.078, 32.0, 40.0, 26.7
1600, 4.14, 6.964e-05, 2.82, 3.416, 0.072, 32.0, 39.3, 27.0
1664, 4.11, 6.786e-05, 2.78, 3.401, 0.069, 30.9, 39.2, 25.5
1728, 4.13, 6.607e-05, 2.74, 3.42, 0.074, 31.8, 39.5, 26.6
1792, 4.14, 6.429e-05, 2.7, 3.422, 0.076, 31.7, 39.8, 26.4
1856, 4.1, 6.25e-05, 2.67, 3.434, 0.071, 30.9, 39.5, 25.4
1920, 4.11, 6.071e-05, 2.64, 3.404, 0.061, 30.0, 38.6, 24.6
1984, 4.1, 5.893e-05, 2.61, 3.437, 0.085, 32.9, 40.4, 27.7
2048, 4.08, 5.714e-05, 2.58, 3.469, 0.089, 33.5, 40.7, 28.4
2112, 4.09, 5.536e-05, 2.55, 3.456, 0.086, 33.2, 40.4, 28.2
2176, 4.1, 5.357e-05, 2.52, 3.456, 0.085, 32.5, 40.6, 27.2
2240, 4.08, 5.179e-05, 2.5, 3.472, 0.087, 32.6, 40.7, 27.2
2304, 4.11, 5e-05, 2.48, 3.458, 0.09, 32.9, 41.0, 27.5
2368, 4.11, 4.821e-05, 2.45, 3.484, 0.09, 33.1, 41.0, 27.8
2432, 4.07, 4.643e-05, 2.43, 3.473, 0.09, 33.2, 40.9, 27.9
2496, 4.11, 4.464e-05, 2.41, 3.475, 0.089, 33.0, 40.9, 27.6
2560, 4.08, 4.286e-05, 2.4, 3.494, 0.077, 31.8, 39.9, 26.5
2624, 4.14, 4.107e-05, 2.38, 3.512, 0.097, 33.8, 41.5, 28.4
2688, 4.1, 3.929e-05, 2.36, 3.509, 0.088, 32.8, 40.8, 27.4
2752, 4.08, 3.75e-05, 2.35, 3.505, 0.086, 32.6, 40.6, 27.3
2816, 4.12, 3.571e-05, 2.33, 3.511, 0.085, 32.5, 40.6, 27.0
2880, 4.09, 3.393e-05, 2.32, 3.516, 0.093, 33.3, 41.2, 27.9
2944, 4.11, 3.214e-05, 2.3, 3.532, 0.093, 33.4, 41.2, 28.2
3008, 4.1, 3.036e-05, 2.29, 3.522, 0.088, 32.9, 40.8, 27.5
3072, 4.13, 2.857e-05, 2.28, 3.528, 0.093, 33.3, 41.2, 28.0
3136, 4.11, 2.679e-05, 2.27, 3.545, 0.089, 32.9, 40.9, 27.6
3200, 4.11, 2.5e-05, 2.26, 3.535, 0.089, 32.9, 40.9, 27.5
3264, 4.1, 2.321e-05, 2.25, 3.547, 0.09, 33.0, 41.0, 27.6
3328, 4.12, 2.143e-05, 2.24, 3.553, 0.099, 33.6, 41.8, 28.2
3392, 4.1, 1.964e-05, 2.24, 3.549, 0.091, 33.3, 40.9, 28.1
3456, 4.09, 1.786e-05, 2.23, 3.568, 0.093, 33.3, 41.2, 27.9
3520, 4.09, 1.607e-05, 2.22, 3.57, 0.092, 33.3, 41.1, 28.0
3584, 4.09, 1.429e-05, 2.22, 3.573, 0.099, 33.8, 41.7, 28.4
3648, 4.15, 1.25e-05, 2.21, 3.573, 0.094, 33.5, 41.3, 28.2
3712, 4.08, 1.071e-05, 2.21, 3.573, 0.093, 33.3, 41.3, 27.9
3776, 4.1, 8.93e-06, 2.2, 3.571, 0.092, 33.3, 41.1, 28.0
3840, 4.13, 7.14e-06, 2.2, 3.57, 0.094, 33.4, 41.3, 28.0
3904, 4.08, 5.36e-06, 2.2, 3.575, 0.094, 33.3, 41.3, 28.0
3968, 4.11, 3.57e-06, 2.19, 3.576, 0.086, 32.7, 40.6, 27.4
4032, 4.04, 1.79e-06, 2.2, 3.584, 0.092, 33.2, 41.1, 27.8
4096, 3.94, 0.0, 2.19, 3.57, 0.091, 33.2, 41.0, 27.9
