step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 2e-07, n/a, 5.69, 0.251, 48.2, 55.3, 42.7
64, 3.87, 1.25e-05, 5.4, 5.532, 0.28, 51.3, 56.3, 47.1
128, 3.87, 2.5e-05, 4.98, 5.102, 0.249, 50.6, 52.9, 48.5
192, 3.84, 3.75e-05, 4.4, 4.738, 0.26, 52.6, 52.5, 52.7
256, 3.85, 5e-05, 4.0, 4.495, 0.277, 54.5, 52.7, 56.4
320, 3.84, 6.25e-05, 3.7, 4.3, 0.294, 56.0, 53.1, 59.1
384, 3.86, 7.5e-05, 3.46, 4.151, 0.302, 56.6, 53.5, 60.1
448, 3.89, 8.75e-05, 3.23, 4.02, 0.316, 57.6, 54.1, 61.6
512, 3.88, 0.0001, 3.05, 3.953, 0.331, 58.6, 54.9, 62.9
576, 3.94, 9.821e-05, 2.9, 3.925, 0.337, 59.0, 55.1, 63.4
640, 3.87, 9.643e-05, 2.78, 3.898, 0.343, 59.4, 55.4, 64.1
704, 3.92, 9.464e-05, 2.69, 3.858, 0.352, 59.8, 56.2, 64.0
768, 3.85, 9.286e-05, 2.61, 3.85, 0.355, 60.0, 56.3, 64.3
832, 3.83, 9.107e-05, 2.54, 3.847, 0.358, 60.1, 56.6, 64.0
896, 3.85, 8.929e-05, 2.48, 3.866, 0.364, 60.4, 57.2, 64.0
960, 3.84, 8.75e-05, 2.42, 3.833, 0.359, 60.1, 56.9, 63.7
1024, 3.83, 8.571e-05, 2.37, 3.863, 0.366, 60.5, 57.3, 64.0
1088, 3.83, 8.393e-05, 2.32, 3.857, 0.364, 60.4, 57.2, 64.1
1152, 3.85, 8.214e-05, 2.28, 3.851, 0.366, 60.4, 57.4, 63.8
1216, 3.84, 8.036e-05, 2.24, 3.887, 0.367, 60.5, 57.5, 63.8
1280, 3.84, 7.857e-05, 2.2, 3.881, 0.368, 60.5, 57.6, 63.8
1344, 3.87, 7.679e-05, 2.17, 3.861, 0.36, 59.9, 57.3, 62.8
1408, 3.86, 7.5e-05, 2.14, 3.899, 0.36, 60.0, 57.2, 63.0
1472, 3.86, 7.321e-05, 2.11, 3.885, 0.365, 60.2, 57.6, 63.1
1536, 3.84, 7.143e-05, 2.08, 3.921, 0.362, 60.0, 57.5, 62.7
1600, 3.83, 6.964e-05, 2.05, 3.931, 0.359, 59.8, 57.3, 62.7
1664, 3.85, 6.786e-05, 2.03, 3.932, 0.357, 59.7, 57.3, 62.4
1728, 3.85, 6.607e-05, 2.0, 3.923, 0.367, 60.3, 57.8, 63.0
1792, 3.83, 6.429e-05, 1.98, 3.941, 0.368, 60.3, 58.0, 62.9
1856, 3.84, 6.25e-05, 1.96, 3.933, 0.371, 60.5, 58.1, 63.2
1920, 3.85, 6.071e-05, 1.94, 3.959, 0.361, 59.9, 57.6, 62.3
1984, 3.82, 5.893e-05, 1.92, 3.96, 0.365, 60.0, 57.9, 62.3
2048, 3.83, 5.714e-05, 1.9, 3.967, 0.362, 59.9, 57.7, 62.1
2112, 3.82, 5.536e-05, 1.88, 3.975, 0.373, 60.6, 58.2, 63.2
2176, 3.83, 5.357e-05, 1.87, 3.967, 0.362, 59.8, 57.7, 62.1
2240, 3.84, 5.179e-05, 1.85, 3.988, 0.366, 60.1, 58.0, 62.5
2304, 3.81, 5e-05, 1.83, 3.989, 0.363, 60.0, 57.7, 62.5
2368, 3.84, 4.821e-05, 1.82, 4.007, 0.363, 60.0, 57.8, 62.4
2432, 3.83, 4.643e-05, 1.81, 4.01, 0.365, 60.1, 57.8, 62.6
2496, 3.83, 4.464e-05, 1.79, 4.017, 0.366, 60.1, 57.9, 62.6
2560, 3.83, 4.286e-05, 1.78, 4.035, 0.363, 59.9, 57.9, 62.0
2624, 3.85, 4.107e-05, 1.77, 4.058, 0.359, 59.6, 57.6, 61.8
2688, 3.84, 3.929e-05, 1.76, 4.028, 0.364, 60.0, 57.9, 62.1
2752, 3.86, 3.75e-05, 1.75, 4.078, 0.357, 59.5, 57.5, 61.8
2816, 3.85, 3.571e-05, 1.73, 4.045, 0.363, 59.9, 57.9, 62.1
2880, 3.86, 3.393e-05, 1.73, 4.056, 0.363, 60.0, 57.8, 62.2
2944, 3.86, 3.214e-05, 1.71, 4.042, 0.366, 60.1, 58.0, 62.3
3008, 3.8, 3.036e-05, 1.71, 4.074, 0.357, 59.5, 57.6, 61.6
3072, 3.83, 2.857e-05, 1.7, 4.066, 0.361, 59.8, 57.6, 62.2
3136, 3.85, 2.679e-05, 1.69, 4.054, 0.361, 59.8, 57.8, 61.8
3200, 3.81, 2.5e-05, 1.68, 4.08, 0.361, 59.9, 57.6, 62.2
3264, 3.84, 2.321e-05, 1.68, 4.089, 0.365, 60.0, 58.0, 62.2
3328, 3.86, 2.143e-05, 1.67, 4.078, 0.354, 59.3, 57.4, 61.3
3392, 3.85, 1.964e-05, 1.67, 4.074, 0.366, 60.1, 58.1, 62.3
3456, 3.82, 1.786e-05, 1.66, 4.108, 0.364, 59.9, 58.0, 62.0
3520, 3.81, 1.607e-05, 1.66, 4.09, 0.358, 59.5, 57.6, 61.6
3584, 4.02, 1.429e-05, 1.65, 4.114, 0.359, 59.6, 57.7, 61.7
3648, 4.12, 1.25e-05, 1.65, 4.116, 0.366, 60.1, 58.1, 62.2
3712, 4.11, 1.071e-05, 1.65, 4.095, 0.362, 59.8, 57.8, 62.0
3776, 4.11, 8.93e-06, 1.64, 4.113, 0.361, 59.9, 57.7, 62.2
3840, 4.1, 7.14e-06, 1.64, 4.113, 0.367, 60.1, 58.2, 62.1
3904, 4.08, 5.36e-06, 1.64, 4.101, 0.36, 59.7, 57.6, 62.0
3968, 4.1, 3.57e-06, 1.64, 4.095, 0.357, 59.5, 57.5, 61.8
4032, 4.02, 1.79e-06, 1.63, 4.128, 0.368, 60.2, 58.2, 62.4
4096, 3.78, 0.0, 1.63, 4.115, 0.361, 59.7, 57.8, 61.7
