step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 2e-07, n/a, 7.431, 0.119, 34.9, 43.5, 29.2
64, 3.95, 1.25e-05, 6.53, 6.902, 0.122, 36.8, 43.0, 32.2
128, 3.94, 2.5e-05, 5.61, 5.756, 0.147, 42.0, 43.4, 40.8
192, 3.94, 3.75e-05, 4.81, 4.958, 0.228, 48.9, 47.8, 50.1
256, 3.93, 5e-05, 4.24, 4.375, 0.281, 53.1, 50.3, 56.2
320, 3.96, 6.25e-05, 3.8, 3.96, 0.31, 55.3, 51.6, 59.5
384, 3.96, 7.5e-05, 3.51, 3.679, 0.36, 58.4, 54.8, 62.5
448, 3.89, 8.75e-05, 3.29, 3.513, 0.393, 60.4, 57.1, 64.2
512, 3.96, 0.0001, 3.14, 3.397, 0.407, 61.3, 58.1, 64.8
576, 4.0, 9.821e-05, 3.02, 3.347, 0.42, 62.1, 59.0, 65.5
640, 3.9, 9.643e-05, 2.93, 3.327, 0.422, 62.1, 59.3, 65.2
704, 4.02, 9.464e-05, 2.86, 3.301, 0.426, 62.3, 59.7, 65.2
768, 4.01, 9.286e-05, 2.8, 3.286, 0.428, 62.4, 60.1, 64.8
832, 3.94, 9.107e-05, 2.75, 3.263, 0.437, 62.9, 60.8, 65.2
896, 3.9, 8.929e-05, 2.7, 3.258, 0.44, 63.1, 61.0, 65.3
960, 3.92, 8.75e-05, 2.66, 3.252, 0.444, 63.3, 61.4, 65.3
1024, 3.91, 8.571e-05, 2.62, 3.242, 0.439, 63.0, 61.1, 65.0
1088, 3.93, 8.393e-05, 2.58, 3.242, 0.442, 63.2, 61.2, 65.3
1152, 4.01, 8.214e-05, 2.55, 3.247, 0.44, 63.0, 61.3, 64.8
1216, 4.01, 8.036e-05, 2.52, 3.24, 0.441, 63.0, 61.6, 64.6
1280, 3.9, 7.857e-05, 2.49, 3.243, 0.443, 63.1, 61.7, 64.6
1344, 3.89, 7.679e-05, 2.46, 3.236, 0.444, 63.1, 61.9, 64.4
1408, 3.91, 7.5e-05, 2.43, 3.246, 0.445, 63.2, 61.9, 64.6
1472, 3.89, 7.321e-05, 2.4, 3.224, 0.446, 63.2, 62.2, 64.2
1536, 3.93, 7.143e-05, 2.38, 3.225, 0.447, 63.2, 62.3, 64.1
1600, 3.93, 6.964e-05, 2.36, 3.249, 0.448, 63.2, 62.6, 63.9
1664, 3.92, 6.786e-05, 2.33, 3.235, 0.448, 63.3, 62.5, 64.1
1728, 3.94, 6.607e-05, 2.31, 3.233, 0.449, 63.3, 62.8, 63.8
1792, 3.95, 6.429e-05, 2.29, 3.235, 0.448, 63.2, 62.7, 63.7
1856, 3.91, 6.25e-05, 2.27, 3.251, 0.452, 63.4, 63.0, 63.8
1920, 3.9, 6.071e-05, 2.25, 3.256, 0.451, 63.3, 63.0, 63.7
1984, 4.02, 5.893e-05, 2.24, 3.242, 0.452, 63.4, 63.2, 63.7
2048, 3.92, 5.714e-05, 2.22, 3.247, 0.447, 63.0, 62.9, 63.2
2112, 3.98, 5.536e-05, 2.2, 3.261, 0.452, 63.4, 63.3, 63.5
2176, 3.98, 5.357e-05, 2.19, 3.259, 0.445, 62.8, 62.8, 62.9
2240, 4.0, 5.179e-05, 2.17, 3.258, 0.449, 63.1, 63.2, 63.1
2304, 4.02, 5e-05, 2.16, 3.279, 0.447, 62.9, 63.1, 62.8
2368, 3.98, 4.821e-05, 2.15, 3.276, 0.446, 62.8, 63.2, 62.4
2432, 3.97, 4.643e-05, 2.14, 3.269, 0.446, 62.9, 63.1, 62.7
2496, 3.96, 4.464e-05, 2.13, 3.286, 0.45, 63.1, 63.3, 63.0
2560, 4.01, 4.286e-05, 2.11, 3.276, 0.441, 62.6, 62.7, 62.5
2624, 3.98, 4.107e-05, 2.11, 3.291, 0.446, 62.8, 63.2, 62.4
2688, 4.0, 3.929e-05, 2.09, 3.282, 0.449, 63.0, 63.4, 62.7
2752, 4.1, 3.75e-05, 2.09, 3.286, 0.45, 63.0, 63.6, 62.4
2816, 3.99, 3.571e-05, 2.08, 3.275, 0.452, 63.2, 63.7, 62.7
2880, 3.98, 3.393e-05, 2.07, 3.283, 0.45, 63.0, 63.6, 62.5
2944, 4.06, 3.214e-05, 2.06, 3.289, 0.445, 62.7, 63.3, 62.0
3008, 3.98, 3.036e-05, 2.05, 3.285, 0.448, 62.9, 63.5, 62.2
3072, 4.0, 2.857e-05, 2.05, 3.293, 0.45, 62.9, 63.7, 62.1
3136, 3.96, 2.679e-05, 2.04, 3.286, 0.457, 63.4, 64.1, 62.8
3200, 3.99, 2.5e-05, 2.03, 3.307, 0.451, 63.0, 63.9, 62.1
3264, 3.96, 2.321e-05, 2.03, 3.299, 0.452, 63.1, 63.9, 62.2
3328, 3.93, 2.143e-05, 2.02, 3.308, 0.449, 62.8, 63.8, 61.9
3392, 3.89, 1.964e-05, 2.02, 3.306, 0.451, 63.0, 63.9, 62.2
3456, 3.91, 1.786e-05, 2.02, 3.307, 0.453, 63.0, 64.1, 62.0
3520, 3.94, 1.607e-05, 2.01, 3.31, 0.446, 62.6, 63.6, 61.7
3584, 3.9, 1.429e-05, 2.01, 3.308, 0.454, 63.2, 64.0, 62.3
3648, 3.9, 1.25e-05, 2.0, 3.315, 0.447, 62.7, 63.8, 61.6
3712, 3.89, 1.071e-05, 2.0, 3.314, 0.452, 63.0, 64.1, 62.0
3776, 3.91, 8.93e-06, 2.0, 3.304, 0.457, 63.4, 64.3, 62.5
3840, 3.93, 7.14e-06, 2.0, 3.313, 0.45, 62.9, 63.9, 61.9
3904, 3.92, 5.36e-06, 2.0, 3.321, 0.45, 62.9, 64.0, 61.8
3968, 3.92, 3.57e-06, 2.0, 3.295, 0.453, 63.1, 64.1, 62.2
4032, 3.9, 1.79e-06, 1.99, 3.313, 0.451, 63.0, 63.9, 62.0
4096, 3.85, 0.0, 1.99, 3.308, 0.455, 63.2, 64.4, 62.1
