step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 9.8e-07, n/a, 7.569, 0.047, 16.3, 43.2, 10.0
128, 3.52, 0.000125, 6.15, 4.925, -0.036, 20.4, 32.0, 15.0
256, 3.68, 0.00025, 4.35, 4.357, -0.083, 16.3, 26.7, 11.8
384, 3.68, 0.000375, 3.77, 3.75, -0.065, 17.8, 28.7, 12.9
512, 3.61, 0.0005, 3.4, 3.715, -0.009, 22.5, 34.9, 16.6
640, 3.46, 0.000625, 3.14, 3.689, -0.004, 23.5, 35.4, 17.6
768, 3.54, 0.00075, 2.86, 3.58, 0.091, 31.6, 44.6, 24.5
896, 3.5, 0.000875, 2.66, 3.567, 0.169, 37.1, 52.1, 28.8
1024, 3.52, 0.001, 2.48, 3.582, 0.162, 37.1, 51.2, 29.1
1152, 3.43, 0.00098214, 2.38, 3.519, 0.216, 39.7, 57.2, 30.4
1280, 3.63, 0.00096429, 2.24, 3.612, 0.269, 44.9, 61.0, 35.5
1408, 3.58, 0.00094643, 2.18, 3.396, 0.282, 44.9, 63.1, 34.8
1536, 3.41, 0.00092857, 1.98, 3.495, 0.272, 43.4, 62.7, 33.2
1664, 3.44, 0.00091071, 1.99, 3.383, 0.34, 49.7, 67.6, 39.3
1792, 3.75, 0.00089286, 2.08, 3.303, 0.367, 51.9, 69.8, 41.3
1920, 3.49, 0.000875, 1.92, 3.362, 0.376, 52.3, 70.9, 41.5
2048, 3.61, 0.00085714, 1.84, 3.317, 0.378, 52.4, 71.0, 41.6
2176, 3.66, 0.00083929, 1.91, 3.323, 0.4, 54.2, 72.9, 43.1
2304, 3.52, 0.00082143, 1.94, 3.291, 0.412, 55.4, 73.3, 44.5
2432, 3.72, 0.00080357, 1.73, 3.283, 0.415, 55.5, 73.7, 44.5
2560, 3.57, 0.00078571, 1.75, 3.332, 0.414, 55.4, 73.5, 44.5
2688, 3.67, 0.00076786, 1.73, 3.376, 0.415, 55.2, 74.1, 44.0
2816, 3.49, 0.00075, 1.77, 3.347, 0.418, 55.8, 73.8, 44.9
2944, 3.42, 0.00073214, 1.7, 3.305, 0.412, 54.5, 74.6, 42.9
3072, 3.64, 0.00071429, 1.7, 3.195, 0.444, 58.2, 75.4, 47.3
3200, 3.54, 0.00069643, 1.74, 3.401, 0.431, 57.1, 74.4, 46.3
3328, 3.7, 0.00067857, 1.62, 3.177, 0.436, 57.1, 75.3, 46.0
3456, 3.74, 0.00066071, 1.59, 3.314, 0.447, 57.9, 76.2, 46.7
3584, 3.5, 0.00064286, 1.78, 3.177, 0.441, 57.3, 76.0, 46.0
3712, 3.67, 0.000625, 1.63, 3.151, 0.454, 58.8, 76.2, 47.8
3840, 3.59, 0.00060714, 1.61, 3.18, 0.448, 58.1, 76.2, 46.9
3968, 3.67, 0.00058929, 1.67, 3.124, 0.452, 58.6, 76.2, 47.6
4096, 5.02, 0.00057143, 1.61, 3.09, 0.457, 59.0, 76.4, 48.1
4224, 3.42, 0.00055357, 1.64, 3.085, 0.451, 58.2, 76.6, 47.0
4352, 3.51, 0.00053571, 1.6, 3.096, 0.453, 58.4, 76.8, 47.1
4480, 3.26, 0.00051786, 1.54, 3.121, 0.461, 59.2, 77.0, 48.1
4608, 3.48, 0.0005, 1.57, 3.059, 0.455, 58.8, 76.6, 47.7
4736, 3.7, 0.00048214, 1.56, 3.074, 0.456, 58.6, 77.0, 47.3
4864, 3.37, 0.00046429, 1.52, 3.071, 0.46, 59.2, 76.9, 48.1
4992, 3.59, 0.00044643, 1.62, 3.136, 0.457, 59.1, 76.2, 48.3
5120, 3.69, 0.00042857, 1.46, 3.064, 0.464, 59.4, 77.3, 48.3
5248, 3.46, 0.00041071, 1.65, 3.043, 0.462, 59.3, 77.1, 48.2
5376, 3.56, 0.00039286, 1.43, 3.026, 0.464, 59.4, 77.3, 48.2
5504, 3.53, 0.000375, 1.54, 3.117, 0.467, 59.6, 77.6, 48.4
5632, 3.52, 0.00035714, 1.47, 3.101, 0.465, 59.3, 77.7, 47.9
5760, 3.47, 0.00033929, 1.54, 3.048, 0.461, 59.1, 77.2, 47.8
5888, 3.61, 0.00032143, 1.5, 3.073, 0.472, 59.8, 78.2, 48.4
6016, 3.41, 0.00030357, 1.57, 3.158, 0.462, 59.3, 76.9, 48.3
6144, 3.56, 0.00028571, 1.45, 3.134, 0.466, 59.5, 77.6, 48.3
6272, 3.54, 0.00026786, 1.53, 3.085, 0.476, 60.3, 78.2, 49.1
6400, 3.42, 0.00025, 1.44, 3.069, 0.469, 59.7, 77.8, 48.5
6528, 3.6, 0.00023214, 1.44, 3.072, 0.464, 59.4, 77.3, 48.2
6656, 3.5, 0.00021429, 1.55, 3.081, 0.469, 59.9, 77.3, 48.9
6784, 3.55, 0.00019643, 1.45, 3.079, 0.47, 59.9, 77.6, 48.8
6912, 3.42, 0.00017857, 1.43, 3.063, 0.462, 59.2, 77.1, 48.1
7040, 3.57, 0.00016071, 1.38, 3.075, 0.471, 59.9, 77.8, 48.8
7168, 3.51, 0.00014286, 1.54, 3.053, 0.471, 60.0, 77.8, 48.8
7296, 3.51, 0.000125, 1.49, 3.054, 0.47, 59.8, 77.8, 48.5
