step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 9.8e-07, n/a, 7.269, 0.092, 33.8, 40.9, 28.8
128, 3.92, 0.000125, 5.0, 4.194, 0.238, 51.5, 46.5, 57.6
256, 3.98, 0.00025, 3.08, 3.333, 0.302, 56.1, 49.0, 65.7
384, 3.96, 0.000375, 2.52, 3.201, 0.312, 56.7, 49.6, 66.2
512, 4.17, 0.0005, 2.18, 3.143, 0.332, 57.8, 50.7, 67.2
640, 3.93, 0.000625, 2.1, 3.083, 0.341, 58.4, 51.3, 67.7
768, 4.05, 0.00075, 1.89, 3.074, 0.351, 58.9, 52.0, 67.9
896, 4.16, 0.000875, 1.75, 3.065, 0.372, 60.3, 52.8, 70.4
1024, 4.06, 0.001, 1.72, 3.16, 0.369, 60.0, 53.0, 69.2
1152, 4.03, 0.00098214, 1.78, 3.011, 0.37, 60.0, 53.0, 69.3
1280, 3.97, 0.00096429, 1.68, 2.941, 0.386, 61.0, 53.8, 70.5
1408, 4.13, 0.00094643, 1.65, 3.013, 0.379, 60.5, 53.9, 68.9
1536, 3.97, 0.00092857, 1.64, 2.96, 0.399, 61.9, 54.4, 71.7
1664, 4.19, 0.00091071, 1.48, 2.967, 0.396, 61.6, 54.6, 70.6
1792, 3.86, 0.00089286, 1.57, 2.988, 0.383, 60.7, 54.2, 69.1
1920, 3.89, 0.000875, 1.57, 2.889, 0.398, 61.7, 54.7, 70.9
2048, 3.94, 0.00085714, 1.46, 2.984, 0.404, 62.1, 55.0, 71.4
2176, 4.14, 0.00083929, 1.49, 2.962, 0.385, 60.8, 54.4, 68.9
2304, 4.09, 0.00082143, 1.44, 2.916, 0.393, 61.3, 54.6, 69.9
2432, 3.88, 0.00080357, 1.45, 2.97, 0.39, 61.2, 54.4, 70.0
2560, 3.9, 0.00078571, 1.5, 2.951, 0.392, 61.2, 54.8, 69.3
2688, 3.7, 0.00076786, 1.47, 2.913, 0.391, 61.2, 54.6, 69.7
2816, 3.98, 0.00075, 1.38, 2.948, 0.401, 61.9, 55.0, 70.7
2944, 4.14, 0.00073214, 1.41, 2.912, 0.404, 62.1, 55.1, 71.1
3072, 3.85, 0.00071429, 1.4, 2.913, 0.404, 62.1, 55.2, 70.8
