step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 9.8e-07, n/a, 5.693, 0.258, 48.8, 55.7, 43.4
128, 4.0, 0.000125, 4.63, 4.423, 0.301, 56.2, 53.9, 58.7
256, 4.16, 0.00025, 3.26, 3.879, 0.396, 62.5, 58.7, 66.8
384, 4.3, 0.000375, 2.71, 3.625, 0.444, 65.4, 61.6, 69.8
512, 4.15, 0.0005, 2.63, 3.54, 0.469, 66.8, 63.8, 70.0
640, 4.12, 0.000625, 2.47, 3.433, 0.483, 67.7, 64.4, 71.2
768, 4.0, 0.00075, 2.35, 3.421, 0.499, 68.5, 66.0, 71.2
896, 4.19, 0.000875, 2.25, 3.398, 0.511, 69.0, 67.7, 70.3
1024, 4.07, 0.001, 2.23, 3.31, 0.515, 69.0, 68.4, 69.7
1152, 4.26, 0.00098214, 2.06, 3.209, 0.522, 69.5, 68.8, 70.2
1280, 4.03, 0.00096429, 2.02, 3.219, 0.531, 70.1, 69.3, 70.8
1408, 4.04, 0.00094643, 2.0, 3.233, 0.532, 70.0, 69.9, 70.1
1536, 4.19, 0.00092857, 1.93, 3.239, 0.527, 69.5, 70.1, 69.0
1664, 3.8, 0.00091071, 1.97, 3.221, 0.537, 70.2, 70.6, 69.7
1792, 3.91, 0.00089286, 1.93, 3.596, 0.513, 68.1, 70.5, 65.9
1920, 4.12, 0.000875, 1.79, 3.26, 0.542, 70.3, 71.4, 69.2
2048, 4.2, 0.00085714, 1.89, 3.266, 0.538, 70.1, 71.1, 69.1
2176, 3.94, 0.00083929, 1.91, 3.164, 0.528, 69.2, 71.4, 67.0
2304, 4.18, 0.00082143, 1.89, 3.159, 0.536, 69.9, 71.3, 68.5
2432, 4.04, 0.00080357, 1.82, 3.193, 0.532, 69.4, 71.5, 67.5
2560, 3.89, 0.00078571, 1.86, 3.124, 0.54, 70.0, 71.9, 68.3
2688, 3.86, 0.00076786, 1.83, 3.165, 0.539, 69.9, 72.0, 67.9
2816, 4.16, 0.00075, 1.81, 3.142, 0.532, 69.4, 71.8, 67.2
2944, 4.16, 0.00073214, 1.8, 3.136, 0.54, 69.9, 72.2, 67.9
3072, 4.15, 0.00071429, 1.83, 3.142, 0.536, 69.7, 71.9, 67.7
3200, 4.43, 0.00069643, 1.75, 3.12, 0.534, 69.3, 72.3, 66.6
3328, 4.51, 0.00067857, 1.72, 3.122, 0.538, 69.7, 72.2, 67.4
3456, 3.93, 0.00066071, 1.81, 3.114, 0.53, 69.0, 72.3, 66.0
3584, 4.25, 0.00064286, 1.71, 3.107, 0.532, 69.2, 72.1, 66.6
3712, 3.96, 0.000625, 1.78, 3.14, 0.528, 68.9, 72.2, 65.9
3840, 3.86, 0.00060714, 1.72, 3.135, 0.533, 69.3, 72.3, 66.5
3968, 3.99, 0.00058929, 1.74, 3.119, 0.53, 69.0, 72.2, 66.1
4096, 4.0, 0.00057143, 1.81, 3.076, 0.534, 69.3, 72.4, 66.5
4224, 4.07, 0.00055357, 1.76, 3.088, 0.537, 69.6, 72.3, 67.0
4352, 4.09, 0.00053571, 1.65, 3.109, 0.528, 68.9, 72.0, 66.1
4480, 4.01, 0.00051786, 1.78, 3.112, 0.531, 69.1, 72.3, 66.1
4608, 3.98, 0.0005, 1.7, 3.118, 0.529, 69.0, 72.2, 66.0
4736, 3.88, 0.00048214, 1.74, 3.053, 0.529, 68.8, 72.5, 65.5
4864, 4.09, 0.00046429, 1.7, 3.057, 0.531, 69.0, 72.5, 65.9
4992, 4.04, 0.00044643, 1.73, 3.103, 0.527, 68.7, 72.5, 65.3
5120, 3.79, 0.00042857, 1.74, 3.095, 0.531, 69.1, 72.3, 66.1
5248, 4.05, 0.00041071, 1.66, 3.093, 0.532, 69.0, 72.7, 65.7
5376, 3.97, 0.00039286, 1.68, 3.086, 0.532, 69.1, 72.5, 66.1
5504, 4.11, 0.000375, 1.69, 3.077, 0.522, 68.3, 72.2, 64.8
5632, 4.13, 0.00035714, 1.66, 3.05, 0.531, 68.9, 72.7, 65.6
5760, 4.14, 0.00033929, 1.65, 3.077, 0.526, 68.6, 72.2, 65.3
5888, 4.11, 0.00032143, 1.69, 3.07, 0.529, 68.8, 72.6, 65.4
6016, 4.06, 0.00030357, 1.71, 3.069, 0.526, 68.6, 72.5, 65.1
6144, 3.94, 0.00028571, 1.66, 3.112, 0.526, 68.6, 72.3, 65.2
6272, 4.01, 0.00026786, 1.62, 3.067, 0.528, 68.7, 72.6, 65.1
6400, 3.95, 0.00025, 1.7, 3.096, 0.522, 68.3, 72.3, 64.7
6528, 3.95, 0.00023214, 1.66, 3.077, 0.524, 68.4, 72.5, 64.7
6656, 4.06, 0.00021429, 1.63, 3.082, 0.524, 68.3, 72.5, 64.6
6784, 4.01, 0.00019643, 1.74, 3.059, 0.535, 69.2, 72.9, 65.8
6912, 3.94, 0.00017857, 1.65, 3.039, 0.531, 68.8, 73.0, 65.0
7040, 4.07, 0.00016071, 1.65, 3.051, 0.529, 68.7, 72.6, 65.3
7168, 4.08, 0.00014286, 1.63, 3.05, 0.527, 68.5, 72.7, 64.7
7296, 4.05, 0.000125, 1.59, 3.049, 0.521, 68.2, 72.4, 64.4
7424, 4.02, 0.00010714, 1.71, 3.09, 0.524, 68.3, 72.4, 64.7
7552, 3.82, 8.929e-05, 1.65, 3.064, 0.526, 68.5, 72.7, 64.8
7680, 4.04, 7.143e-05, 1.57, 3.068, 0.53, 68.7, 72.9, 65.0
7808, 4.19, 5.357e-05, 1.65, 3.058, 0.526, 68.5, 72.5, 64.9
7936, 3.99, 3.571e-05, 1.69, 3.093, 0.527, 68.5, 72.7, 64.8
8064, 4.15, 1.786e-05, 1.57, 3.068, 0.526, 68.5, 72.7, 64.7
8192, 3.98, 0.0, 1.6, 3.063, 0.527, 68.5, 72.7, 64.8
