step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 9.8e-07, n/a, 5.87, 0.158, 43.3, 47.4, 39.8
128, 3.9, 0.000125, 4.73, 4.464, 0.223, 52.0, 48.6, 55.9
256, 4.22, 0.00025, 3.3, 3.717, 0.298, 56.5, 53.0, 60.6
384, 4.0, 0.000375, 2.71, 3.523, 0.336, 59.1, 54.7, 64.3
512, 4.04, 0.0005, 2.47, 3.451, 0.367, 60.8, 56.8, 65.4
640, 4.05, 0.000625, 2.35, 3.371, 0.385, 61.7, 58.4, 65.4
768, 3.84, 0.00075, 2.33, 3.367, 0.396, 62.1, 59.6, 64.9
896, 4.2, 0.000875, 2.17, 3.3, 0.403, 62.6, 60.0, 65.4
1024, 4.1, 0.001, 2.13, 3.265, 0.421, 63.5, 61.4, 65.8
1152, 4.14, 0.00098214, 2.12, 3.25, 0.42, 62.7, 63.0, 62.3
1280, 3.89, 0.00096429, 2.14, 3.212, 0.429, 63.2, 63.8, 62.6
1408, 4.0, 0.00094643, 1.95, 3.207, 0.441, 63.8, 65.0, 62.6
1536, 4.08, 0.00092857, 1.95, 3.196, 0.448, 64.1, 65.5, 62.8
1664, 3.82, 0.00091071, 1.98, 3.225, 0.436, 62.9, 65.5, 60.5
1792, 3.89, 0.00089286, 1.92, 3.16, 0.454, 64.3, 66.5, 62.2
1920, 4.07, 0.000875, 1.88, 3.212, 0.449, 63.6, 66.9, 60.6
2048, 4.03, 0.00085714, 1.94, 3.203, 0.461, 64.5, 67.6, 61.7
2176, 4.21, 0.00083929, 1.89, 3.134, 0.465, 64.8, 67.6, 62.3
2304, 4.08, 0.00082143, 1.83, 3.127, 0.46, 64.3, 67.6, 61.4
2432, 4.46, 0.00080357, 1.79, 3.141, 0.463, 64.4, 68.1, 61.0
2560, 3.97, 0.00078571, 1.84, 3.162, 0.457, 63.8, 68.1, 60.0
2688, 4.02, 0.00076786, 1.85, 3.148, 0.463, 64.2, 68.4, 60.5
2816, 4.22, 0.00075, 1.77, 3.17, 0.462, 64.0, 68.7, 59.9
2944, 4.55, 0.00073214, 1.78, 3.155, 0.46, 63.9, 68.5, 59.8
3072, 4.23, 0.00071429, 1.72, 3.156, 0.465, 64.2, 68.9, 60.0
3200, 4.2, 0.00069643, 1.82, 3.1, 0.463, 64.0, 69.0, 59.6
3328, 4.09, 0.00067857, 1.81, 3.109, 0.458, 63.6, 68.7, 59.2
3456, 3.86, 0.00066071, 1.81, 3.106, 0.465, 64.0, 69.3, 59.5
3584, 4.15, 0.00064286, 1.69, 3.074, 0.475, 64.7, 69.8, 60.3
3712, 4.02, 0.000625, 1.73, 3.114, 0.464, 63.9, 69.4, 59.3
3840, 3.96, 0.00060714, 1.68, 3.09, 0.471, 64.4, 69.8, 59.8
3968, 3.94, 0.00058929, 1.76, 3.256, 0.464, 63.5, 70.0, 58.1
4096, 4.07, 0.00057143, 1.73, 3.123, 0.474, 64.5, 70.1, 59.7
4224, 4.02, 0.00055357, 1.76, 3.196, 0.461, 63.4, 69.6, 58.3
4352, 4.16, 0.00053571, 1.66, 3.057, 0.473, 64.4, 70.2, 59.4
4480, 3.86, 0.00051786, 1.73, 3.049, 0.474, 64.4, 70.4, 59.3
4608, 3.82, 0.0005, 1.73, 3.082, 0.469, 63.8, 70.4, 58.4
4736, 3.9, 0.00048214, 1.73, 3.08, 0.475, 64.3, 70.7, 59.0
4864, 3.99, 0.00046429, 1.67, 3.115, 0.473, 64.3, 70.4, 59.1
4992, 3.98, 0.00044643, 1.64, 3.104, 0.466, 63.6, 70.3, 58.0
5120, 4.1, 0.00042857, 1.64, 3.072, 0.473, 63.9, 71.0, 58.1
5248, 3.86, 0.00041071, 1.7, 3.143, 0.475, 64.3, 70.8, 58.8
5376, 4.11, 0.00039286, 1.65, 3.12, 0.474, 64.3, 70.6, 59.0
5504, 3.93, 0.000375, 1.68, 3.164, 0.471, 63.9, 70.6, 58.4
5632, 3.92, 0.00035714, 1.72, 3.099, 0.477, 64.4, 70.9, 59.0
5760, 3.88, 0.00033929, 1.63, 3.072, 0.474, 64.2, 70.7, 58.9
5888, 3.86, 0.00032143, 1.65, 3.053, 0.474, 64.2, 70.9, 58.6
6016, 3.98, 0.00030357, 1.69, 3.098, 0.47, 63.8, 70.8, 58.0
6144, 3.93, 0.00028571, 1.62, 3.099, 0.473, 64.0, 71.0, 58.2
6272, 3.9, 0.00026786, 1.58, 3.09, 0.469, 63.6, 70.9, 57.7
6400, 3.89, 0.00025, 1.67, 3.096, 0.47, 63.8, 70.8, 58.0
6528, 3.96, 0.00023214, 1.65, 3.103, 0.471, 63.8, 70.9, 58.0
6656, 3.98, 0.00021429, 1.56, 3.076, 0.469, 63.6, 70.8, 57.7
6784, 3.94, 0.00019643, 1.72, 3.087, 0.474, 64.0, 71.1, 58.2
6912, 3.89, 0.00017857, 1.61, 3.101, 0.476, 64.1, 71.4, 58.1
7040, 4.06, 0.00016071, 1.6, 3.099, 0.472, 63.9, 71.0, 58.0
7168, 3.99, 0.00014286, 1.64, 3.086, 0.475, 64.0, 71.3, 58.1
7296, 3.76, 0.000125, 1.62, 3.079, 0.471, 63.7, 71.0, 57.8
7424, 3.99, 0.00010714, 1.58, 3.08, 0.473, 63.9, 71.0, 58.1
7552, 4.06, 8.929e-05, 1.62, 3.083, 0.47, 63.7, 70.8, 57.9
7680, 3.95, 7.143e-05, 1.65, 3.061, 0.468, 63.5, 70.8, 57.6
7808, 3.92, 5.357e-05, 1.63, 3.075, 0.472, 63.9, 71.0, 58.1
7936, 3.77, 3.571e-05, 1.57, 3.087, 0.473, 63.9, 71.1, 58.0
8064, 3.83, 1.786e-05, 1.66, 3.08, 0.469, 63.7, 70.7, 58.0
8192, 3.9, 0.0, 1.6, 3.065, 0.471, 63.8, 71.0, 57.9
