step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 4.9e-07, n/a, 7.697, -0.013, 12.7, 31.1, 8.0
128, 4.01, 6.25e-05, 6.86, 5.435, -0.057, 11.4, 24.9, 7.4
256, 4.02, 0.000125, 4.71, 4.56, -0.049, 16.7, 27.5, 12.0
384, 4.14, 0.0001875, 4.09, 3.968, -0.042, 19.6, 28.7, 14.9
512, 4.19, 0.00025, 3.62, 3.525, 0.014, 23.7, 34.5, 18.1
640, 3.92, 0.0003125, 3.34, 3.368, 0.039, 24.7, 37.1, 18.5
768, 3.82, 0.000375, 3.06, 3.365, 0.061, 26.4, 39.5, 19.8
896, 3.71, 0.0004375, 2.85, 3.407, 0.075, 27.1, 41.0, 20.3
1024, 3.98, 0.0005, 2.65, 3.326, 0.112, 29.9, 45.0, 22.4
1152, 3.92, 0.00049107, 2.58, 3.331, 0.169, 35.0, 50.2, 26.9
1280, 3.88, 0.00048214, 2.49, 3.257, 0.173, 35.2, 50.7, 26.9
1408, 3.97, 0.00047321, 2.26, 3.242, 0.192, 36.1, 52.9, 27.4
1536, 3.92, 0.00046429, 2.21, 3.209, 0.231, 39.7, 56.2, 30.7
1664, 3.81, 0.00045536, 2.2, 3.207, 0.266, 42.8, 59.0, 33.6
1792, 3.76, 0.00044643, 2.06, 3.142, 0.325, 48.3, 63.2, 39.1
1920, 3.99, 0.0004375, 1.9, 3.171, 0.324, 47.7, 63.8, 38.1
2048, 3.81, 0.00042857, 2.06, 3.141, 0.369, 51.4, 67.4, 41.6
2176, 3.82, 0.00041964, 1.96, 3.14, 0.406, 54.2, 70.6, 44.0
2304, 3.86, 0.00041071, 1.94, 3.141, 0.434, 57.3, 71.3, 47.8
2432, 3.68, 0.00040179, 1.84, 3.071, 0.407, 54.3, 70.5, 44.2
2560, 4.05, 0.00039286, 1.97, 3.044, 0.441, 57.8, 71.9, 48.3
2688, 4.19, 0.00038393, 1.78, 3.035, 0.451, 58.3, 73.1, 48.4
2816, 4.17, 0.000375, 1.8, 2.973, 0.478, 60.8, 74.2, 51.6
2944, 3.61, 0.00036607, 1.92, 3.018, 0.485, 61.3, 74.9, 51.9
3072, 3.82, 0.00035714, 1.73, 2.996, 0.474, 60.1, 74.7, 50.3
3200, 3.9, 0.00034821, 1.78, 2.974, 0.484, 61.0, 75.2, 51.4
3328, 3.84, 0.00033929, 1.7, 2.973, 0.486, 61.4, 75.0, 52.0
3456, 4.02, 0.00033036, 1.74, 2.962, 0.494, 62.0, 75.7, 52.4
3584, 3.82, 0.00032143, 1.75, 2.972, 0.508, 63.0, 76.8, 53.4
3712, 3.98, 0.0003125, 1.66, 2.972, 0.499, 62.5, 75.7, 53.3
3840, 3.98, 0.00030357, 1.81, 2.956, 0.507, 63.2, 76.2, 54.0
3968, 3.71, 0.00029464, 1.69, 2.953, 0.511, 63.2, 76.9, 53.7
4096, 3.85, 0.00028571, 1.78, 2.91, 0.517, 63.9, 77.0, 54.6
4224, 4.1, 0.00027679, 1.59, 2.938, 0.509, 63.2, 76.6, 53.7
4352, 3.79, 0.00026786, 1.74, 2.941, 0.516, 63.6, 77.4, 54.0
4480, 3.79, 0.00025893, 1.7, 2.919, 0.519, 64.0, 77.3, 54.6
4608, 3.92, 0.00025, 1.64, 2.91, 0.535, 65.4, 78.2, 56.2
4736, 3.92, 0.00024107, 1.68, 2.934, 0.531, 64.7, 78.7, 54.9
4864, 3.87, 0.00023214, 1.69, 2.917, 0.523, 64.1, 77.8, 54.6
4992, 3.91, 0.00022321, 1.58, 2.929, 0.535, 65.3, 78.3, 56.1
5120, 3.65, 0.00021429, 1.54, 2.906, 0.527, 64.3, 78.5, 54.5
5248, 3.88, 0.00020536, 1.72, 2.909, 0.539, 65.4, 79.1, 55.7
5376, 3.8, 0.00019643, 1.59, 2.906, 0.536, 65.0, 79.1, 55.2
5504, 3.88, 0.0001875, 1.64, 2.879, 0.542, 65.6, 79.1, 56.1
5632, 3.95, 0.00017857, 1.51, 2.887, 0.541, 65.5, 79.3, 55.7
5760, 4.02, 0.00016964, 1.58, 2.881, 0.54, 65.3, 79.6, 55.4
5888, 3.91, 0.00016071, 1.52, 2.883, 0.544, 65.6, 79.8, 55.6
6016, 3.86, 0.00015179, 1.61, 2.866, 0.542, 65.4, 79.7, 55.4
6144, 3.96, 0.00014286, 1.64, 2.879, 0.546, 65.6, 80.2, 55.5
6272, 3.99, 0.00013393, 1.48, 2.865, 0.55, 66.1, 80.1, 56.2
6400, 3.53, 0.000125, 1.54, 2.865, 0.548, 66.0, 79.7, 56.4
6528, 3.93, 0.00011607, 1.52, 2.868, 0.553, 66.2, 80.4, 56.3
6656, 3.91, 0.00010714, 1.62, 2.877, 0.545, 65.6, 80.0, 55.5
6784, 3.99, 9.821e-05, 1.53, 2.871, 0.55, 66.1, 80.3, 56.1
6912, 3.94, 8.929e-05, 1.53, 2.846, 0.548, 66.0, 79.9, 56.2
7040, 3.9, 8.036e-05, 1.47, 2.865, 0.549, 65.8, 80.5, 55.6
7168, 3.89, 7.143e-05, 1.53, 2.844, 0.557, 66.5, 80.8, 56.5
7296, 4.01, 6.25e-05, 1.57, 2.847, 0.558, 66.6, 80.7, 56.7
7424, 3.69, 5.357e-05, 1.52, 2.843, 0.555, 66.3, 80.7, 56.3
7552, 3.68, 4.464e-05, 1.52, 2.843, 0.553, 66.3, 80.3, 56.5
7680, 3.87, 3.571e-05, 1.54, 2.845, 0.552, 66.2, 80.5, 56.1
7808, 3.79, 2.679e-05, 1.58, 2.844, 0.556, 66.5, 80.6, 56.6
7936, 3.91, 1.786e-05, 1.54, 2.85, 0.55, 65.9, 80.4, 55.9
8064, 3.83, 8.93e-06, 1.55, 2.85, 0.556, 66.5, 80.7, 56.6
