step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 9.8e-07, n/a, 7.279, 0.094, 33.8, 41.1, 28.7
128, 3.91, 0.000125, 5.01, 4.143, 0.246, 51.7, 47.3, 57.1
256, 4.22, 0.00025, 3.12, 3.429, 0.31, 56.5, 49.6, 65.4
384, 4.27, 0.000375, 2.44, 3.264, 0.327, 57.4, 50.7, 66.1
512, 4.12, 0.0005, 2.2, 3.174, 0.35, 58.7, 52.3, 66.9
640, 4.22, 0.000625, 1.98, 3.166, 0.371, 59.8, 53.9, 67.1
768, 4.4, 0.00075, 2.02, 3.101, 0.386, 60.6, 55.0, 67.5
896, 4.22, 0.000875, 1.9, 3.054, 0.377, 59.9, 54.9, 66.0
1024, 4.09, 0.001, 1.9, 3.031, 0.385, 60.5, 55.3, 66.8
1152, 4.23, 0.00098214, 1.73, 3.039, 0.394, 61.0, 55.8, 67.3
1280, 4.29, 0.00096429, 1.77, 3.021, 0.408, 61.9, 56.6, 68.3
1408, 4.13, 0.00094643, 1.71, 2.989, 0.412, 62.3, 56.6, 69.1
1536, 4.03, 0.00092857, 1.66, 2.964, 0.402, 61.5, 56.4, 67.6
1664, 4.18, 0.00091071, 1.61, 2.91, 0.418, 62.5, 57.4, 68.6
1792, 4.1, 0.00089286, 1.53, 2.911, 0.422, 62.8, 57.3, 69.6
1920, 4.01, 0.000875, 1.62, 3.053, 0.413, 62.2, 57.1, 68.4
2048, 4.18, 0.00085714, 1.59, 2.961, 0.413, 62.1, 57.2, 67.9
2176, 4.03, 0.00083929, 1.41, 2.973, 0.414, 62.2, 57.3, 68.1
2304, 4.0, 0.00082143, 1.53, 2.979, 0.414, 62.1, 57.4, 67.7
2432, 3.92, 0.00080357, 1.62, 2.894, 0.418, 62.5, 57.3, 68.8
2560, 4.06, 0.00078571, 1.46, 2.902, 0.413, 62.1, 57.5, 67.4
2688, 4.0, 0.00076786, 1.53, 2.869, 0.42, 62.5, 58.0, 67.8
2816, 3.82, 0.00075, 1.51, 2.923, 0.416, 62.3, 57.7, 67.5
2944, 3.72, 0.00073214, 1.44, 2.925, 0.421, 62.5, 57.9, 67.9
3072, 4.11, 0.00071429, 1.46, 2.877, 0.417, 62.3, 57.7, 67.7
3200, 4.1, 0.00069643, 1.41, 2.862, 0.415, 62.2, 57.7, 67.5
3328, 3.88, 0.00067857, 1.49, 2.865, 0.418, 62.4, 57.8, 67.8
3456, 3.88, 0.00066071, 1.44, 2.88, 0.421, 62.6, 57.8, 68.2
3584, 4.05, 0.00064286, 1.44, 2.874, 0.421, 62.5, 58.1, 67.6
3712, 4.05, 0.000625, 1.44, 2.898, 0.414, 62.0, 57.7, 67.1
3840, 3.86, 0.00060714, 1.38, 2.885, 0.41, 61.7, 57.6, 66.3
3968, 3.79, 0.00058929, 1.44, 2.868, 0.417, 62.3, 57.8, 67.5
4096, 3.86, 0.00057143, 1.45, 2.896, 0.412, 61.9, 57.5, 67.0
4224, 4.27, 0.00055357, 1.34, 2.881, 0.415, 62.1, 57.9, 67.0
4352, 3.87, 0.00053571, 1.44, 2.841, 0.415, 62.2, 57.7, 67.3
4480, 3.7, 0.00051786, 1.44, 2.836, 0.419, 62.3, 58.1, 67.1
4608, 4.0, 0.0005, 1.33, 2.841, 0.415, 62.0, 58.1, 66.5
4736, 3.85, 0.00048214, 1.4, 2.857, 0.415, 62.1, 58.0, 66.8
4864, 4.09, 0.00046429, 1.34, 2.851, 0.414, 62.0, 57.8, 66.8
4992, 3.94, 0.00044643, 1.33, 2.844, 0.412, 61.9, 57.7, 66.7
5120, 4.13, 0.00042857, 1.33, 2.865, 0.412, 61.9, 57.7, 66.6
5248, 4.11, 0.00041071, 1.31, 2.869, 0.406, 61.4, 57.5, 65.9
5376, 3.86, 0.00039286, 1.37, 2.832, 0.422, 62.5, 58.2, 67.6
5504, 3.96, 0.000375, 1.37, 2.831, 0.412, 61.7, 58.0, 65.9
5632, 3.95, 0.00035714, 1.26, 2.844, 0.419, 62.3, 58.0, 67.3
5760, 4.04, 0.00033929, 1.34, 2.947, 0.407, 61.5, 57.6, 65.9
5888, 4.19, 0.00032143, 1.33, 2.886, 0.419, 62.4, 58.1, 67.3
6016, 4.09, 0.00030357, 1.29, 2.911, 0.412, 61.8, 57.8, 66.3
6144, 3.9, 0.00028571, 1.38, 2.845, 0.418, 62.3, 58.2, 66.9
6272, 4.0, 0.00026786, 1.41, 2.857, 0.419, 62.3, 58.1, 67.2
6400, 3.97, 0.00025, 1.31, 2.857, 0.412, 61.8, 57.9, 66.2
6528, 3.92, 0.00023214, 1.28, 2.843, 0.413, 61.9, 57.8, 66.6
6656, 4.06, 0.00021429, 1.35, 2.854, 0.416, 62.1, 58.0, 66.8
6784, 3.85, 0.00019643, 1.32, 2.847, 0.416, 62.1, 57.9, 67.0
6912, 3.96, 0.00017857, 1.31, 2.842, 0.41, 61.6, 57.8, 66.1
7040, 4.02, 0.00016071, 1.32, 2.834, 0.411, 61.8, 57.7, 66.5
7168, 4.05, 0.00014286, 1.27, 2.831, 0.414, 62.0, 57.9, 66.7
7296, 3.93, 0.000125, 1.28, 2.843, 0.411, 61.8, 57.8, 66.4
7424, 4.1, 0.00010714, 1.27, 2.827, 0.412, 61.9, 57.8, 66.5
7552, 3.79, 8.929e-05, 1.33, 2.845, 0.42, 62.4, 58.3, 67.1
7680, 3.92, 7.143e-05, 1.31, 2.813, 0.42, 62.4, 58.2, 67.2
7808, 4.1, 5.357e-05, 1.3, 2.815, 0.415, 62.1, 57.9, 66.9
7936, 4.0, 3.571e-05, 1.28, 2.827, 0.418, 62.2, 58.1, 66.9
8064, 4.0, 1.786e-05, 1.29, 2.815, 0.413, 61.9, 57.9, 66.5
8192, 4.11, 0.0, 1.25, 2.816, 0.417, 62.2, 58.0, 67.0
