step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 4.9e-07, n/a, 5.693, 0.258, 48.8, 55.7, 43.4
128, 4.31, 6.25e-05, 4.88, 4.787, 0.277, 54.0, 53.2, 54.7
256, 4.05, 0.000125, 3.69, 4.118, 0.348, 59.6, 55.8, 63.9
384, 4.07, 0.0001875, 3.07, 3.882, 0.393, 62.7, 57.7, 68.7
512, 3.94, 0.00025, 2.84, 3.526, 0.434, 65.1, 60.2, 70.9
640, 4.02, 0.0003125, 2.61, 3.38, 0.44, 65.3, 61.0, 70.2
768, 4.22, 0.000375, 2.57, 3.402, 0.457, 66.2, 62.5, 70.4
896, 4.09, 0.0004375, 2.35, 3.374, 0.48, 67.6, 63.8, 71.9
1024, 4.1, 0.0005, 2.31, 3.397, 0.478, 67.3, 64.4, 70.4
1152, 4.04, 0.00049107, 2.2, 3.379, 0.485, 67.6, 65.2, 70.2
1280, 4.16, 0.00048214, 2.2, 3.305, 0.488, 67.6, 65.8, 69.5
1408, 3.95, 0.00047321, 2.14, 3.363, 0.498, 68.4, 66.0, 70.9
1536, 4.25, 0.00046429, 2.1, 3.325, 0.492, 67.8, 66.2, 69.5
1664, 4.03, 0.00045536, 2.0, 3.297, 0.495, 68.0, 66.6, 69.5
1792, 4.04, 0.00044643, 2.1, 3.542, 0.498, 68.1, 66.8, 69.4
1920, 3.92, 0.0004375, 2.06, 3.233, 0.507, 68.5, 68.0, 69.0
2048, 4.19, 0.00042857, 2.0, 3.383, 0.505, 68.3, 68.1, 68.5
2176, 4.09, 0.00041964, 1.85, 3.192, 0.518, 69.2, 68.7, 69.8
2304, 4.01, 0.00041071, 1.95, 3.19, 0.518, 69.1, 68.9, 69.3
2432, 4.1, 0.00040179, 2.02, 3.199, 0.522, 69.4, 69.0, 69.9
2560, 3.97, 0.00039286, 1.85, 3.213, 0.516, 68.9, 69.1, 68.7
2688, 4.14, 0.00038393, 1.89, 3.196, 0.519, 69.1, 69.3, 68.9
2816, 4.17, 0.000375, 1.89, 3.331, 0.516, 68.8, 69.2, 68.4
2944, 4.12, 0.00036607, 2.03, 3.168, 0.519, 69.1, 69.4, 68.8
3072, 4.02, 0.00035714, 1.86, 3.142, 0.524, 69.3, 69.8, 68.9
3200, 4.27, 0.00034821, 1.82, 3.234, 0.524, 69.4, 69.6, 69.2
3328, 4.03, 0.00033929, 1.89, 3.18, 0.523, 69.2, 69.8, 68.7
3456, 3.94, 0.00033036, 1.89, 3.156, 0.532, 69.9, 70.4, 69.4
3584, 4.17, 0.00032143, 1.78, 3.149, 0.525, 69.4, 69.8, 69.0
3712, 4.2, 0.0003125, 1.82, 3.209, 0.525, 69.3, 70.1, 68.6
3840, 3.94, 0.00030357, 1.86, 3.159, 0.532, 69.8, 70.4, 69.3
3968, 4.24, 0.00029464, 1.82, 3.154, 0.525, 69.3, 70.2, 68.6
4096, 4.11, 0.00028571, 1.85, 3.187, 0.523, 69.1, 70.0, 68.3
4224, 4.23, 0.00027679, 1.8, 3.167, 0.523, 69.0, 70.5, 67.6
4352, 4.38, 0.00026786, 1.83, 3.138, 0.522, 69.1, 70.2, 67.9
4480, 4.12, 0.00025893, 1.81, 3.13, 0.524, 69.2, 70.4, 68.1
4608, 4.3, 0.00025, 1.81, 3.122, 0.525, 69.2, 70.4, 68.0
4736, 4.11, 0.00024107, 1.83, 3.1, 0.525, 69.2, 70.7, 67.7
4864, 4.1, 0.00023214, 1.89, 3.145, 0.53, 69.6, 70.7, 68.5
4992, 4.34, 0.00022321, 1.74, 3.346, 0.523, 69.0, 70.6, 67.5
5120, 4.19, 0.00021429, 1.77, 3.161, 0.526, 69.2, 70.8, 67.7
5248, 4.16, 0.00020536, 1.73, 3.179, 0.527, 69.2, 70.8, 67.7
5376, 4.26, 0.00019643, 1.82, 3.134, 0.53, 69.4, 71.1, 67.9
5504, 4.32, 0.0001875, 1.74, 3.111, 0.53, 69.5, 70.9, 68.1
5632, 3.78, 0.00017857, 1.86, 3.13, 0.532, 69.6, 71.0, 68.2
5760, 4.17, 0.00016964, 1.69, 3.139, 0.525, 69.1, 70.7, 67.6
5888, 4.09, 0.00016071, 1.85, 3.149, 0.527, 69.2, 70.9, 67.5
6016, 4.15, 0.00015179, 1.73, 3.156, 0.528, 69.4, 70.8, 67.9
6144, 3.99, 0.00014286, 1.71, 3.135, 0.53, 69.5, 71.1, 67.9
