step, s/batch, lr, train_loss, dev.quc-dev_loss, dev.quc-mcc, dev.quc-f1, dev.quc-precision, dev.quc-recall
0, n/a, 2.4e-07, n/a, 5.697, 0.251, 48.1, 55.4, 42.5
128, 4.31, 3.125e-05, 5.03, 5.055, 0.259, 52.2, 52.7, 51.6
256, 4.0, 6.25e-05, 4.05, 4.471, 0.281, 55.3, 52.3, 58.7
384, 4.2, 9.375e-05, 3.44, 4.096, 0.334, 59.4, 53.9, 66.2
512, 4.2, 0.000125, 3.06, 3.86, 0.352, 60.8, 54.3, 68.9
640, 4.1, 0.00015625, 2.84, 3.817, 0.365, 61.5, 55.0, 69.7
768, 3.89, 0.0001875, 2.76, 3.594, 0.392, 63.2, 56.2, 72.3
896, 3.87, 0.00021875, 2.6, 3.593, 0.393, 63.1, 56.7, 70.9
1024, 3.92, 0.00025, 2.53, 3.561, 0.414, 64.3, 57.9, 72.2
1152, 3.61, 0.00024554, 2.28, 3.567, 0.415, 64.3, 58.2, 71.9
1280, 4.06, 0.00024107, 2.35, 3.436, 0.424, 64.7, 59.0, 71.5
1408, 3.84, 0.00023661, 2.34, 3.392, 0.436, 65.5, 59.3, 73.3
1536, 3.93, 0.00023214, 2.23, 3.384, 0.436, 65.5, 59.6, 72.7
1664, 3.95, 0.00022768, 2.06, 3.405, 0.432, 65.2, 59.4, 72.4
1792, 3.86, 0.00022321, 2.02, 3.382, 0.441, 65.8, 59.9, 73.0
1920, 4.04, 0.00021875, 2.11, 3.391, 0.444, 65.9, 60.2, 72.7
2048, 3.74, 0.00021429, 2.11, 3.389, 0.433, 65.1, 60.0, 71.2
2176, 3.89, 0.00020982, 2.08, 3.357, 0.445, 65.9, 60.6, 72.1
2304, 3.82, 0.00020536, 2.07, 3.375, 0.445, 65.7, 60.9, 71.4
2432, 3.94, 0.00020089, 2.11, 3.317, 0.442, 65.6, 60.7, 71.4
2560, 3.94, 0.00019643, 1.91, 3.316, 0.442, 65.5, 60.8, 71.0
2688, 3.84, 0.00019196, 1.98, 3.269, 0.436, 65.2, 60.4, 70.7
2816, 3.91, 0.0001875, 1.96, 3.24, 0.443, 65.4, 61.4, 70.0
2944, 3.87, 0.00018304, 1.98, 3.27, 0.443, 65.5, 61.3, 70.2
3072, 3.85, 0.00017857, 2.05, 3.255, 0.448, 65.8, 61.6, 70.5
3200, 3.86, 0.00017411, 1.98, 3.283, 0.442, 65.4, 61.0, 70.5
3328, 3.86, 0.00016964, 1.78, 3.263, 0.447, 65.7, 61.6, 70.5
3456, 3.69, 0.00016518, 1.79, 3.262, 0.447, 65.7, 61.6, 70.3
3584, 3.91, 0.00016071, 1.88, 3.251, 0.445, 65.6, 61.3, 70.6
