step, s/batch, lr, train_loss, dev.quy-dev_loss
0, n/a, 6.3e-07, n/a, 7.672
128, 2.63, 8.125e-05, 6.75, 4.567
256, 2.6, 0.0001625, 4.09, 3.691
384, 2.74, 0.00024375, 3.35, 3.314
512, 2.71, 0.000325, 2.98, 3.215
640, 2.66, 0.00040625, 2.74, 3.106
768, 2.66, 0.0004875, 2.59, 2.998
896, 2.63, 0.00056875, 2.41, 2.918
1024, 2.64, 0.00065, 2.29, 2.899
1152, 2.65, 0.00064458, 2.23, 2.83
1280, 2.65, 0.00063917, 2.17, 2.802
1408, 2.56, 0.00063375, 2.07, 2.793
1536, 2.57, 0.00062833, 2.03, 2.772
1664, 2.63, 0.00062292, 2.0, 2.771
1792, 2.62, 0.0006175, 1.96, 2.749
1920, 2.65, 0.00061208, 1.93, 2.737
2048, 2.63, 0.00060667, 1.9, 2.74
2176, 2.67, 0.00060125, 1.87, 2.757
2304, 2.66, 0.00059583, 1.86, 2.702
2432, 2.66, 0.00059042, 1.83, 2.697
2560, 2.61, 0.000585, 1.81, 2.721
2688, 2.61, 0.00057958, 1.78, 2.672
2816, 2.61, 0.00057417, 1.77, 2.664
2944, 2.52, 0.00056875, 1.73, 2.662
3072, 2.53, 0.00056333, 1.7, 2.664
3200, 2.54, 0.00055792, 1.69, 2.663
3328, 2.52, 0.0005525, 1.66, 2.647
3456, 2.59, 0.00054708, 1.68, 2.647
3584, 2.52, 0.00054167, 1.65, 2.634
3712, 2.61, 0.00053625, 1.66, 2.627
3840, 2.58, 0.00053083, 1.62, 2.621
3968, 2.52, 0.00052542, 1.61, 2.629
4096, 2.6, 0.00052, 1.61, 2.606
4224, 2.54, 0.00051458, 1.59, 2.618
4352, 2.53, 0.00050917, 1.58, 2.635
4480, 2.59, 0.00050375, 1.57, 2.607
4608, 2.56, 0.00049833, 1.57, 2.611
4736, 2.53, 0.00049292, 1.55, 2.595
4864, 2.56, 0.0004875, 1.55, 2.615
4992, 2.5, 0.00048208, 1.53, 2.603
5120, 2.58, 0.00047667, 1.54, 2.611
5248, 2.6, 0.00047125, 1.52, 2.602
5376, 2.53, 0.00046583, 1.53, 2.602
5504, 2.53, 0.00046042, 1.51, 2.598
5632, 2.57, 0.000455, 1.52, 2.599
5760, 2.57, 0.00044958, 1.51, 2.608
5888, 2.53, 0.00044417, 1.5, 2.591
6016, 2.52, 0.00043875, 1.48, 2.594
6144, 2.56, 0.00043333, 1.47, 2.6
6272, 2.5, 0.00042792, 1.47, 2.6
6400, 2.57, 0.0004225, 1.47, 2.594
6528, 2.56, 0.00041708, 1.47, 2.599
6656, 2.55, 0.00041167, 1.46, 2.595
6784, 2.5, 0.00040625, 1.46, 2.59
6912, 2.55, 0.00040083, 1.44, 2.592
7040, 2.55, 0.00039542, 1.44, 2.598
7168, 2.54, 0.00039, 1.46, 2.576
7296, 2.55, 0.00038458, 1.47, 2.591
7424, 2.52, 0.00037917, 1.44, 2.579
7552, 2.58, 0.00037375, 1.44, 2.573
7680, 2.54, 0.00036833, 1.42, 2.594
7808, 2.57, 0.00036292, 1.42, 2.588
7936, 2.48, 0.0003575, 1.42, 2.594
8064, 2.59, 0.00035208, 1.43, 2.583
8192, 2.51, 0.00034667, 1.42, 2.578
8320, 2.53, 0.00034125, 1.43, 2.589
8448, 2.59, 0.00033583, 1.42, 2.583
8576, 2.62, 0.00033042, 1.43, 2.58
8704, 2.58, 0.000325, 1.4, 2.57
8832, 2.58, 0.00031958, 1.4, 2.596
8960, 2.55, 0.00031417, 1.41, 2.574
9088, 2.53, 0.00030875, 1.39, 2.579
9216, 2.55, 0.00030333, 1.4, 2.573
9344, 2.55, 0.00029792, 1.41, 2.57
9472, 2.57, 0.0002925, 1.39, 2.573
9600, 2.55, 0.00028708, 1.41, 2.57
9728, 2.5, 0.00028167, 1.38, 2.58
9856, 2.53, 0.00027625, 1.39, 2.579
9984, 2.53, 0.00027083, 1.39, 2.581
10112, 2.55, 0.00026542, 1.39, 2.574
10240, 2.49, 0.00026, 1.37, 2.58
10368, 2.5, 0.00025458, 1.37, 2.573
10496, 2.55, 0.00024917, 1.38, 2.575
10624, 2.51, 0.00024375, 1.37, 2.577
10752, 2.54, 0.00023833, 1.38, 2.575
10880, 2.53, 0.00023292, 1.37, 2.566
11008, 2.5, 0.0002275, 1.36, 2.572
11136, 2.56, 0.00022208, 1.37, 2.564
11264, 2.53, 0.00021667, 1.35, 2.573
11392, 2.47, 0.00021125, 1.36, 2.565
11520, 2.53, 0.00020583, 1.36, 2.573
11648, 2.6, 0.00020042, 1.35, 2.563
11776, 2.56, 0.000195, 1.37, 2.566
11904, 2.5, 0.00018958, 1.36, 2.57
12032, 2.52, 0.00018417, 1.35, 2.56
12160, 2.56, 0.00017875, 1.36, 2.558
12288, 2.56, 0.00017333, 1.36, 2.572
12416, 2.53, 0.00016792, 1.36, 2.568
12544, 2.49, 0.0001625, 1.35, 2.567
12672, 2.51, 0.00015708, 1.34, 2.564
12800, 2.53, 0.00015167, 1.34, 2.558
12928, 2.57, 0.00014625, 1.34, 2.563
13056, 2.52, 0.00014083, 1.34, 2.558
13184, 2.53, 0.00013542, 1.35, 2.57
13312, 2.5, 0.00013, 1.34, 2.566
13440, 2.57, 0.00012458, 1.33, 2.565
13568, 2.52, 0.00011917, 1.35, 2.571
13696, 2.53, 0.00011375, 1.34, 2.569
13824, 2.54, 0.00010833, 1.35, 2.565
13952, 2.5, 0.00010292, 1.33, 2.568
14080, 2.56, 9.75e-05, 1.34, 2.562
14208, 2.51, 9.208e-05, 1.34, 2.561
14336, 2.56, 8.667e-05, 1.32, 2.568
14464, 2.5, 8.125e-05, 1.34, 2.56
14592, 2.5, 7.583e-05, 1.32, 2.574
14720, 2.56, 7.042e-05, 1.32, 2.562
14848, 2.54, 6.5e-05, 1.34, 2.563
14976, 2.51, 5.958e-05, 1.33, 2.556
15104, 2.52, 5.417e-05, 1.32, 2.562
15232, 2.54, 4.875e-05, 1.33, 2.564
15360, 2.51, 4.333e-05, 1.33, 2.562
15488, 2.54, 3.792e-05, 1.32, 2.56
15616, 2.52, 3.25e-05, 1.31, 2.564
15744, 2.57, 2.708e-05, 1.31, 2.564
15872, 2.49, 2.167e-05, 1.31, 2.563
16000, 2.54, 1.625e-05, 1.33, 2.564
16128, 2.53, 1.083e-05, 1.32, 2.56
16256, 2.51, 5.42e-06, 1.32, 2.565
16384, 2.52, 0.0, 1.33, 2.564
